pond,date,time,do_perc,temp_c,ph,orp,cond,turb,chla_ugl,nh4_mgl,no3_mgl,par_umol,do_mgl,depth_m,notes
Vesa,7/13/2023,11:02:45,83,24.99,7.13,127.5,77.8,0.36,23.62,0.1,0,3349,6.66,0.25,
Vesa,7/13/2023,11:03:13,81.3,24.83,7.14,129.3,77.9,0.35,22.53,0.1,0,1401.1,6.53,0.5,
Vesa,7/13/2023,11:03:53,78.8,24.67,7.1,135,77.9,0.21,27.82,0.1,0,981.8,6.35,0.75,
Vesa,7/13/2023,11:04:29,77.8,24.47,7.02,144,77.8,0.25,30.72,0.1,0,662.8,6.29,1,
Vesa,7/13/2023,11:05:03,76.1,24.33,6.97,148.8,78,0.38,32.83,0.1,0,406.4,6.17,1.25,
Vesa,7/13/2023,11:05:53,72.8,24.02,6.92,155,78.1,0.71,42.55,0.1,0,94.2,5.94,1.5,
Vesa,7/13/2023,11:06:41,70.4,23.59,6.91,158.4,77.9,0.61,54.79,0.1,0,89.2,5.8,1.75,
Vesa,7/13/2023,11:07:44,57.6,23.01,6.83,161.7,80.5,1.15,61.06,0.1,0,168,4.79,2,
Vesa,7/13/2023,11:08:54,35.2,21.28,6.77,165.2,98.3,3.94,82.58,0.1,0,124.4,3.02,2.25,
Vesa,7/13/2023,11:09:36,18.1,19.47,6.97,180.4,142.2,3.68,129.97,0.1,0,57.3,1.61,2.5,
Vesa,7/13/2023,11:10:24,7.9,17.96,7.04,-123,186.5,7.35,133.72,0.2,0,22.3,0.72,2.75,
Vesa,7/13/2023,11:10:46,5.9,17.79,7.07,-134.1,192.6,8.03,141.66,0.2,0,21.4,0.54,2.8,bottom
Ecovillage,7/11/2023,11:41:28,53.3,24.77,7.21,169.6,287.1,751.4,13.32,0.2,0,3519.3,4.29,0.25,
Ecovillage,7/11/2023,11:42:50,49,24.23,7.25,169.3,286.5,752.2,13.25,0.2,0,1419.9,3.98,0.5,
Ecovillage,7/11/2023,11:43:34,48,23.97,7.26,170,286.9,751.8,19.95,0.2,0,1124.5,3.92,0.75,
Ecovillage,7/11/2023,11:44:34,46.1,23.75,7.25,171.2,286,751.4,28.78,0.2,0,795,3.78,1,
Ecovillage,7/11/2023,11:46:28,36.8,23.62,7.17,174.3,284.9,750.2,39.11,0.1,0,581.1,3.02,1.25,
Ecovillage,7/11/2023,11:49:28,25.3,23.47,7.09,176.8,290.2,750.4,27.87,0.1,0,152.9,2.09,1.5,
Ecovillage,7/11/2023,11:53:47,5.7,23.25,6.94,138,324.7,754.1,57.29,0.2,0,77,0.47,1.75,
Ecovillage,7/11/2023,11:54:59,3.6,22.79,6.91,14.1,336.7,755.1,74.22,0.2,0,216.1,0.3,2,
Ecovillage,7/11/2023,11:56:03,2.1,22.34,6.91,33.5,337.8,753.1,83.17,0.2,0,201.9,0.18,2.25,
Ecovillage,7/11/2023,11:57:09,1.2,20.73,6.92,-36.5,340.2,748.7,198.22,0.2,0,118.9,0.11,2.5,
Ecovillage,7/11/2023,11:57:37,0.8,19.76,6.92,-60.6,350.4,746.6,108.88,0.2,0,75.5,0.07,2.75,
Ecovillage,7/11/2023,11:58:13,0.5,17.97,6.89,-91.2,373.6,738.7,72.2,0.2,0,24.4,0.04,3,
Ecovillage,7/11/2023,11:58:55,0.2,17.07,6.87,-111.3,386.1,732.4,45.03,0.2,0,-0.7,0.02,3.25,
Ecovillage,7/11/2023,11:59:31,0.1,16.11,6.84,-124.2,404.6,729.9,42.23,0.3,0,-4.9,0.01,3.5,
Ecovillage,7/11/2023,11:59:59,0,15.21,6.82,-132.7,431.9,722.5,30.11,0.3,0,-7.7,0,3.75,
English_Shallow,7/26/2023,10:34:22,90.4,22.39,7.31,143.1,181.2,3.82,65.46,0.2,0.1,522.1,7.61,0,
English_Shallow,7/26/2023,10:35:31,86.9,22.1,7.17,150.1,181.3,4.01,65.84,0.2,0.1,2569.2,7.35,0.25,
English_Shallow,7/26/2023,10:36:07,85.4,21.92,7.14,153,180.3,4.37,135.35,0.2,0.1,987.6,7.25,0.5,
English_Shallow,7/26/2023,10:36:43,84.6,21.78,7.12,155.6,179.7,4.66,160.14,0.1,0.1,293.8,7.2,0.75,
English_Shallow,7/26/2023,10:37:25,83.5,21.75,7.09,158.8,180,5.23,171.21,0.1,0.1,121.8,7.12,1,
English_Shallow,7/26/2023,10:38:49,75.8,21.64,6.9,167.9,177.7,5.61,193.02,0.1,0.1,117.4,6.47,1.25,
English_Shallow,7/26/2023,10:39:29,63.2,21.52,6.73,171.1,177.2,6.66,173.61,0.1,0.1,63,5.41,1.5,
English_Shallow,7/26/2023,10:40:27,52.4,21.4,6.51,37,178.3,25.95,128.57,0.3,0,32.9,4.49,1.7,bottom
Longhouse,7/11/2023,15:57:20,102.3,28.44,8.12,90.7,126.4,343.8,31.01,0,0,3008.2,7.7,0.25,
Longhouse,7/11/2023,15:59:02,99.2,27.14,7.9,101.1,125.9,353.2,47.03,0,0,520.1,7.65,0.5,
Longhouse,7/11/2023,15:59:58,94.4,25.68,7.75,107.6,125.8,360.8,92.49,0,0,399.4,7.47,0.75,
Longhouse,7/11/2023,16:00:59,92.9,25.02,7.71,114,125.4,366.9,186.98,0,0,149.6,7.44,1,
Longhouse,7/11/2023,16:01:39,91.1,24.56,7.66,117.7,126.6,370,274.43,0,0,42.2,7.36,1.25,
Longhouse,7/11/2023,16:05:29,66,24.04,7.25,132.7,132.9,383.5,306.34,0,0,48.8,5.38,1.5,
Longhouse,7/11/2023,16:09:37,28.8,23.36,7,141.5,143.4,397.9,240.29,0.1,0,10.5,2.38,1.75,
Longhouse,7/11/2023,16:13:05,3.4,20.98,6.86,143.3,182.5,415.5,202.14,0.2,0,52.9,0.29,2,
Longhouse,7/11/2023,16:13:59,1.8,19.36,6.94,131.7,227.3,425.9,46.2,0.2,0,13.2,0.16,2.25,
Longhouse,7/11/2023,16:15:15,0.8,17.37,6.97,-97.4,280.6,439.3,26.09,0.3,0,1.4,0.07,2.5,
Longhouse,7/11/2023,16:15:47,0.4,16.68,6.92,-108.6,308.8,445.7,26.26,0.6,0,-6.6,0.04,2.75,
Longhouse,7/11/2023,16:16:23,0.2,15.38,6.83,-111.3,348.7,455.3,21.32,1.3,0,-11.9,0.02,3,bottom
Walnut_Ridge,8/1/2023,16:02:01,147.4,24.98,8.19,73.3,458.1,-0.99,5.17,0.4,5.2,1047.4,11.8,0.25,"lost the headers; double check chla, nutrients after analysis comes back"
Walnut_Ridge,8/1/2023,16:03:33,151,25.02,8.15,79.2,458.8,-0.8,5.91,0.4,4.9,342.7,12.08,0.5,
Walnut_Ridge,8/1/2023,16:04:11,151.5,25.05,8.14,81.5,458.7,-0.88,5.85,0.4,4.6,692.1,12.12,0.75,
Walnut_Ridge,8/1/2023,16:04:53,151.9,25.04,8.15,82.6,458.5,-0.83,5.99,0.4,4.8,295,12.15,1,
Walnut_Ridge,8/1/2023,16:05:23,152.4,25.04,8.14,83.9,458.6,-0.77,4.9,0.4,4.8,178.7,12.19,1.25,
Walnut_Ridge,8/1/2023,16:06:01,152.9,25,8.12,84.8,458.5,-0.75,7.23,0.4,5.1,173.7,12.24,1.5,
Walnut_Ridge,8/1/2023,16:06:31,152.6,24.67,8.03,86.7,460.8,-0.67,8.18,0.4,5.1,266.9,12.29,1.75,
Walnut_Ridge,8/1/2023,16:06:55,152.1,24.64,8.04,87.2,460.2,-0.56,10.83,0.4,5.1,158.8,12.26,2,
Walnut_Ridge,8/1/2023,16:07:23,151.8,24.58,8.08,87.9,458.8,-0.56,9.45,0.4,5.2,162.6,12.25,2.25,
Walnut_Ridge,8/1/2023,16:07:57,154.1,24.54,8.02,90,459.9,-0.59,9.67,0.4,5.1,263.5,12.44,2.5,
Walnut_Ridge,8/1/2023,16:10:20,146.9,24.35,8.03,93.7,459.2,-0.6,7.41,0.4,5.2,197.3,11.91,2.75,
Walnut_Ridge,8/1/2023,16:11:20,144.5,24.06,7.81,98.7,472,-0.53,6.86,0.4,4.9,339.5,11.77,3,
Walnut_Ridge,8/1/2023,16:12:06,141.4,23.97,7.69,102.3,484.4,-0.46,9.03,0.4,4.9,336.9,11.54,3.25,
Walnut_Ridge,8/1/2023,16:13:00,141.3,23.83,7.59,105.8,495.9,-0.43,6.31,0.4,5,317.9,11.56,3.5,
Walnut_Ridge,8/1/2023,16:13:54,141.2,23.72,7.53,108.7,499.3,-0.03,7.92,0.4,4.8,278.8,11.58,3.75,
Walnut_Ridge,8/1/2023,16:14:34,139.8,23.65,7.51,109.9,504.3,-0.03,6.67,0.4,4.8,260.3,11.48,4,
Walnut_Ridge,8/1/2023,16:15:08,140.7,23.62,7.5,111.1,507.4,-0.15,9.41,0.4,4.8,229.9,11.56,4.25,
Walnut_Ridge,8/1/2023,16:22:18,58.9,23.29,7.23,97.3,561.3,1.18,8.8,1.4,0.6,223.7,4.87,4.5,
