pond,date,time,do_perc,temp_c,ph,orp,cond,turb,chla_ugl,no3_mgl,nh4_mgl,par_umol,do_mgl,depth_m,notes
Marks,6/14/2023,9:48:03,98.4,19,8,,64,,,,,,8.88,1,
Marks,6/14/2023,9:48:50,98.4,18.96,7.96,,64.1,,,,,,8.89,1.25,
Marks,6/14/2023,9:49:25,98.2,18.86,7.97,,64.4,,,,,,8.89,1.5,
Marks,6/14/2023,9:50:01,98,18.73,7.98,,64.7,,,,,,8.89,1.75,
Marks,6/14/2023,9:51:51,101.4,18.22,8.2,,64.8,,,,,,9.3,2,
Marks,6/14/2023,9:52:49,100.6,17.69,8.2,,64.6,,,,,,9.32,2.25,
Marks,6/14/2023,9:55:50,107.9,16.71,8.14,,66.6,,,,,,10.2,2.5,
Marks,6/14/2023,9:57:30,88.8,15.33,7.58,,71.1,,,,,,8.65,2.75,
Marks,6/14/2023,10:00:53,26.6,13.76,6.8,,83.9,,,,,,2.68,3,
Marks,6/14/2023,10:03:47,5.1,12.24,6.85,,114.2,,,,,,0.54,3.25,
Marks,6/14/2023,10:04:52,2.7,11.06,6.95,,151.9,,,,,,0.29,3.5,
Marks,6/14/2023,10:05:49,1.5,10.8,7,,153.7,,,,,,0.16,3.6,bottom
StickAndStone,6/16/2023,9:24:29,98,17.9,7.91,,654.6,,,,,,9.03,0,
StickAndStone,6/16/2023,9:26:14,98.6,17.87,7.89,,656,,,,,,9.09,0.25,
StickAndStone,6/16/2023,9:27:09,98.4,17.75,7.87,,661.8,,,,,,9.09,0.5,
StickAndStone,6/16/2023,9:31:15,83.5,17.18,7.81,,690.6,,,,,,7.81,0.75,
StickAndStone,6/16/2023,9:33:07,69.9,16.48,7.75,,701,,,,,,6.63,1,
StickAndStone,6/16/2023,9:35:17,67.9,15.98,7.78,,695.5,,,,,,6.51,1.25,
StickAndStone,6/16/2023,9:36:01,67.8,15.61,7.8,,684.1,,,,,,6.56,1.5,
StickAndStone,6/16/2023,9:38:55,40.5,15.28,7.57,,687.2,,,,,,3.94,1.75,
StickAndStone,6/16/2023,9:42:06,20.2,15.12,7.46,,701.2,,,,,,1.97,2,bottom
Vesa,6/13/2023,10:29:24,91.3,19.27,8.41,,85.2,,,,,,8.19,0.25,
Vesa,6/13/2023,10:30:21,91.8,19.33,8.07,,85.9,,,,,,8.23,0.5,
Vesa,6/13/2023,10:31:28,90.3,18.94,7.94,,85,,,,,,8.16,0.75,
Vesa,6/13/2023,10:32:10,89.1,18.45,7.86,,84.9,,,,,,8.13,1,
Vesa,6/13/2023,10:33:19,87.1,18.38,7.78,,84.9,,,,,,7.96,1.25,
Vesa,6/13/2023,10:34:13,85.8,18.26,7.71,,84.8,,,,,,7.86,1.5,
Vesa,6/13/2023,10:34:56,84.7,18.13,7.67,,85.2,,,,,,7.78,1.75,
Vesa,6/13/2023,10:36:26,78.6,17.82,7.61,,87.2,,,,,,7.27,2,
Vesa,6/13/2023,10:37:40,64.5,17.23,7.44,,92.4,,,,,,6.04,2.25,
Vesa,6/13/2023,10:40:21,21.3,16.65,7.22,,102.1,,,,,,2.01,2.5,
Vesa,6/13/2023,10:43:01,7.7,16.53,7.21,,106,,,,,,0.73,2.75,bottom
